title,price,discount,link,image
"VON 60cm x 55cm, 3 Gas Jet Burners + 1 Hot Plate Standing Cooker,Electric Oven+1 YEAR WARRANTY","KSh 37,999",37%,https://www.jumia.co.ke/von-60cm-x-55cm-3-gas-jet-burners-1-hot-plate-standing-cookerelectric-oven1-year-warranty-288219124.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mika All- Gas, 50cmX60cm, Button Ignition Standing Cooker-MST5060U11ESL+ Gas Oven","KSh 25,999",48%,https://www.jumia.co.ke/mika-all-gas-50cmx60cm-button-ignition-standing-cooker-mst5060u11esl-gas-oven-236184901.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mika Standing Cooker, 50 X 60, 3 Gas Pool Jet Burners + 1 Hot Plate, 4 Function Electric Oven","KSh 30,999",23%,https://www.jumia.co.ke/mika-standing-cooker-50-x-60-3-gas-pool-jet-burners-1-hot-plate-4-function-electric-oven-261185101.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Starlux 4 Gas Burner Table Top Cooker,"KSh 5,699",No discount,https://www.jumia.co.ke/starlux-4-gas-burner-table-top-cooker-192176707.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Nunix 50cm *55cm ,Free Standing 4 Gas Cooker With Gas Oven","KSh 19,990",47%,https://www.jumia.co.ke/nunix-50cm-55cm-free-standing-4-gas-cooker-with-gas-oven-285926576.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix 2 burner glass top cooker 3299,"KSh 3,299",40%,https://www.jumia.co.ke/nunix-2-burner-glass-top-cooker-3299-179019610.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix Free Standing 4 Gas Burner Cooker With 60LITRES Oven,"KSh 20,979",16%,https://www.jumia.co.ke/nunix-free-standing-4-gas-burner-cooker-with-60litres-oven-generic-mpg7607417.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
AILYONS 2 BURNER GAS TOP AUTO IGNITION,"KSh 2,690",46%,https://www.jumia.co.ke/ailyons-2-burner-gas-top-auto-ignition-274422852.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix Free Standing 3 Gas Burner +1 Electric Cooker With Oven,"KSh 25,799",36%,https://www.jumia.co.ke/nunix-free-standing-3-gas-burner-1-electric-cooker-with-oven-161835101.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mika 4 Gas, 50cm X 60cm, Button Ignition Standing Cooker + Gas Oven-Gas Cooker+2YRS WARRANTY","KSh 24,990",48%,https://www.jumia.co.ke/mika-4-gas-50cm-x-60cm-button-ignition-standing-cooker-gas-oven-gas-cooker2yrs-warranty-265900035.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Sarah Standing Cooker,50cmx50cm,3 Gas Pool Jet Burners +1 Hot Plate-Electric Oven","KSh 24,599",51%,https://www.jumia.co.ke/sarah-standing-cooker50cmx50cm3-gas-pool-jet-burners-1-hot-plate-electric-oven-265024929.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mika MST5060P33EBL, 50cm x 60cm,3 Gas+1 Electric Hotplate, Free Standing Cooker,Electric Oven","KSh 30,999",48%,https://www.jumia.co.ke/mika-mst5060p33ebl-50cm-x-60cm3-gas1-electric-hotplate-free-standing-cookerelectric-oven-288286804.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mika 50*60, 4 Gas Standing Gas Cooker + Electric Oven - Silver","KSh 28,999",17%,https://www.jumia.co.ke/mika-5060-4-gas-standing-gas-cooker-electric-oven-silver-288549904.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Rashnik 2 Burner Gas Table Top Cooker.,"KSh 2,300",No discount,https://www.jumia.co.ke/rashnik-2-burner-gas-table-top-cooker.-301350060.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix Free Standing 4 Gas Burner Cooker With Oven,"KSh 20,780",31%,https://www.jumia.co.ke/nunix-free-standing-4-gas-burner-cooker-with-oven-131148713.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Eurochef Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,489",29%,https://www.jumia.co.ke/eurochef-top-stainless-steel-2-burner-gas-cooker-plus-6kg-regulator-and-pipe-262961731.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/7169262/1.jpg?4049
"VON 60cm x 55cm, 3 Gas Jet Burners + 1 Hot Plate Standing Cooker +Electric Oven-VAC6SV31UY","KSh 36,999",38%,https://www.jumia.co.ke/von-60cm-x-55cm-3-gas-jet-burners-1-hot-plate-standing-cooker-electric-oven-vac6sv31uy-288225135.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/1522882/1.jpg?7920
Nunix Auto Ignition Table Top 2 Burner Gas Cooker,"KSh 2,499",17%,https://www.jumia.co.ke/nunix-auto-ignition-table-top-2-burner-gas-cooker-189946089.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/0649981/1.jpg?4985
Nunix Cooker 4-Gas Cooker Plus Shelves LTS-01,"KSh 8,999",36%,https://www.jumia.co.ke/nunix-cooker-4-gas-cooker-plus-shelves-lts-01-271864777.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/7468172/1.jpg?3428
Sayona Free Standing 3 Gas Burner +1 Electric Cooker With Gas Oven,"KSh 24,999",43%,https://www.jumia.co.ke/sayona-free-standing-3-gas-burner-1-electric-cooker-with-gas-oven-156747113.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/1747651/1.jpg?7663
"Mika MST6060U31PSB,60x60, 3 Gas Jet Pool Burners + 1 Rapid Plate, Electric Oven & ROTISSERIE Standing Cooker","KSh 41,890",48%,https://www.jumia.co.ke/mika-mst6060u31psb60x60-3-gas-jet-pool-burners-1-rapid-plate-electric-oven-rotisserie-standing-cooker-298243631.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/6342892/1.jpg?9320
"Sayona SGC 50E31-BL,3 Gas+1Hot Plate , 50 By 50 Gas Cooker With Electric Oven","KSh 23,499",16%,https://www.jumia.co.ke/sayona-sgc-50e31-bl3-gas1hot-plate-50-by-50-gas-cooker-with-electric-oven-152360374.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/3063251/1.jpg?6605
"Mika Standing Cooker, 90cm x 60cm, 5 Gas Pool Jet Burners (2 Wok), FLAME FAILURE SAFETY, Auto Ignition, 10 Function Full 90cm Electric Oven (Air Fry+Convection Fan), Rotisserie, Half Inox","KSh 114,995",5%,https://www.jumia.co.ke/mika-standing-cooker-90cm-x-60cm-5-gas-pool-jet-burners-2-wok-flame-failure-safety-auto-ignition-10-function-full-90cm-electric-oven-air-fryconvection-fan-rotisserie-half-inox-213504580.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/5405312/1.jpg?6220
"Mika 60 X 60, 3 Gas Jet Burners + 1 Rapid Plate, ROTISSERIE, Electric Oven Standing Cooker (1 YR WRTY)","KSh 41,999",7%,https://www.jumia.co.ke/mika-60-x-60-3-gas-jet-burners-1-rapid-plate-rotisserie-electric-oven-standing-cooker-1-yr-wrty-306394919.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"VOLSMART 60cm by 60cm, 3 Gas Pool Jet Burners + 1 Hot Plate,Standing Cooker+ Electric Oven","KSh 25,990",52%,https://www.jumia.co.ke/volsmart-60cm-by-60cm-3-gas-pool-jet-burners-1-hot-platestanding-cooker-electric-oven-286571206.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mika MST5060P33EBL, 50cm x 60cm, 3 Gas + 1 RAPID Hot Plate Cooker, Button Ignition,Electric Oven+1YR WARRANTY","KSh 30,999",48%,https://www.jumia.co.ke/mika-mst5060p33ebl-50cm-x-60cm-3-gas-1-rapid-hot-plate-cooker-button-ignitionelectric-oven1yr-warranty-301523652.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"VOLSMART 60*60, 3 Gas Jet Pool Burners + 1 Rapid Plate, Free Standing Cooker with Electric Oven","KSh 25,999",48%,https://www.jumia.co.ke/volsmart-6060-3-gas-jet-pool-burners-1-rapid-plate-free-standing-cooker-with-electric-oven-282239563.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Rashnik Table Top Single Gas Cooker With Auto Ignition,"KSh 2,200",No discount,https://www.jumia.co.ke/rashnik-table-top-single-gas-cooker-with-auto-ignition-200810028.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mika Standing Cooker, 60cm x 60cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Full Black","KSh 41,999",16%,https://www.jumia.co.ke/mika-standing-cooker-60cm-x-60cm-3-gas-pool-jet-burners-1-rapid-hot-plate-button-ignition-3-function-electric-oven-full-black-267868473.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
VON Table top 2 gas burner stainless steel with free pipe and clips,"KSh 5,500",8%,https://www.jumia.co.ke/von-table-top-2-gas-burner-stainless-steel-with-free-pipe-and-clips-279216865.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
VOLSMART 4 Burners VGS-580 Free Standing Gas Cooker Cooking Range with 60L Oven 4 Gas Cooker + Gas Oven,"KSh 19,499",22%,https://www.jumia.co.ke/volsmart-4-burners-vgs-580-free-standing-gas-cooker-cooking-range-with-60l-oven-4-gas-cooker-gas-oven-300962054.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Von Hotpoint 3 Gas+1 Electric, 60cm by 55cm, Standing Gas Cooker with Electric Oven","KSh 42,999",9%,https://www.jumia.co.ke/von-hotpoint-3-gas1-electric-60cm-by-55cm-standing-gas-cooker-with-electric-oven-172285040.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix 3 Gas+ 1 Electric Hotplate Free Standing Cooker With Shelves,"KSh 9,899",27%,https://www.jumia.co.ke/nunix-3-gas-1-electric-hotplate-free-standing-cooker-with-shelves-295279359.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
VELTON Non-Stick COATED Counter Top Gas COOKER 2 Burners,"KSh 2,800",30%,https://www.jumia.co.ke/velton-non-stick-coated-counter-top-gas-cooker-2-burners-156478818.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix Glass Table Top Double Burner Gas Stove + Pipe & Regulator,"KSh 4,699",6%,https://www.jumia.co.ke/glass-table-top-double-burner-gas-stove-pipe-regulator-nunix-mpg7566199.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Nunix Gas Burner Stainless Steel Cooker With 6kg Regulator, pipe & tightener","KSh 2,859",29%,https://www.jumia.co.ke/nunix-gas-burner-stainless-steel-cooker-with-6kg-regulator-pipe-tightener-299843511.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Sayona Free Standing 50CM X 50CM , 3 GAS +1 ELECTRIC Cooker,60L Gas Oven,BLACK","KSh 21,999",48%,https://www.jumia.co.ke/sayona-free-standing-50cm-x-50cm-3-gas-1-electric-cooker60l-gas-ovenblack-275341620.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix Gas Burner Stainless Steel Cooker With 13kg Accessories,"KSh 2,580",14%,https://www.jumia.co.ke/nunix-gas-burner-stainless-steel-cooker-with-13kg-accessories-274423204.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
5L Multifunctional Non-Stick Rice Cooker For Kitchen Smart Home - UK - Black,"KSh 3,320",21%,https://www.jumia.co.ke/generic-5l-multifunctional-non-stick-rice-cooker-for-kitchen-smart-home-uk-black-292581085.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Fahsion Effective Flat Tummy Slimming Cream Thermo Fat Burner Reduce Appearance of Cellulite Flat Tummy Belly Cream Effectively Shapes Contours Safe Natural Fast Absorption Arms Backfat,KSh 599,25%,https://www.jumia.co.ke/fahsion-effective-flat-tummy-slimming-cream-thermo-fat-burner-reduce-appearance-of-cellulite-flat-tummy-belly-cream-effectively-shapes-contours-safe-natural-fast-absorption-arms-backfat-300842134.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
2 In-1 Electric Rice Cooker With Steamer - 2L Gold,"KSh 3,138",47%,https://www.jumia.co.ke/generic-2-in-1-electric-rice-cooker-with-steamer-2l-gold-150984742.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
5L Rice Cooker Pot.,"KSh 3,300",21%,https://www.jumia.co.ke/generic-5l-rice-cooker-pot.-219220078.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Jikokoa QUALITY MODERN CHARCOAL STOVE.,"KSh 4,299",42%,https://www.jumia.co.ke/quality-modern-charcoal-stove.-jikokoa-mpg7326712.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Mika 3 Gas Jet Pool Burners + 1 Rapid Plate, 50*60, Electric Oven & ROTISSERIE Free Standing Cooker","KSh 29,999",25%,https://www.jumia.co.ke/mika-3-gas-jet-pool-burners-1-rapid-plate-5060-electric-oven-rotisserie-free-standing-cooker-291831195.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Veigapro Energy Efficient 2 Gas Burner,Gas Table Top Cooker plus free pipe and 6kg regulator","KSh 2,240",25%,https://www.jumia.co.ke/veigapro-energy-efficient-2-gas-burnergas-table-top-cooker-plus-free-pipe-and-6kg-regulator-295551935.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix Table Top Double Burner Gas Stove Cooker + FREE Pipe & Regulator,"KSh 5,000",No discount,https://www.jumia.co.ke/nunix-table-top-double-burner-gas-stove-cooker-free-pipe-regulator-286402331.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nunix 60x60 3+1 Electric Free Standing Cooker,"KSh 29,996",64%,https://www.jumia.co.ke/60x60-31-electric-free-standing-cooker-nunix-mpg7610704.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
